aux,nsubj,ROOT,dobj
ROOT,dobj,prep,pobj,punct,compound,npadvmod
nummod,compound,compound,ROOT,prep,det,compound,pobj
det,nsubj,prep,pobj,ROOT,nsubj
compound,ROOT
nsubj,ROOT,compound,dobj
det,nummod,compound,compound,ROOT,prep,det,pobj
det,compound,nsubj,auxpass,nsubj,ROOT,prep,poss,compound,pobj
det,compound,nsubj,ROOT,nsubj
nummod,ROOT,prep,pobj,nsubjpass,auxpass,advmod,relcl,prep,pobj
det,nummod,compound,compound,ROOT,prep,pobj
mark,compound,compound,nsubj,ROOT,compound,attr
attr,ROOT,poss,compound,nsubj
aux,nsubj,ROOT,det,dobj,prep,poss,compound,pobj
nsubj,ROOT,aux,xcomp,prep,compound,pobj
compound,compound,ROOT,punct,compound,appos,nummod,appos
compound,compound,ROOT
advmod,acomp,ROOT,nsubj,advmod
nsubj,ROOT,dobj,prep,det,compound,pobj
nsubj,ROOT,dobj,punct,compound,appos,cc,compound,conj
ROOT,dobj,prep,pobj,punct,compound,dobj
nummod,compound,compound,compound,ROOT
nummod,advmod,compound,compound,ROOT
det,compound,compound,compound,ROOT,punct,npadvmod,nummod
det,compound,compound,nsubj,auxpass,nsubj,ROOT,prep,poss,compound,pobj
advmod,intj,aux,nsubj,ROOT,compound,dobj
nummod,ROOT,prep,pobj,nsubj,aux,relcl,nsubj,ccomp,advmod,appos
det,nsubj,prep,punct,compound,pobj,punct,ROOT,nsubj
attr,ROOT,poss,compound,compound,nsubj
nsubj,ROOT,compound,dobj,prep,det,compound,pobj
ROOT,nsubj,acomp,compound,attr,cc,compound,conj
aux,nsubj,ROOT,det,compound,dobj
aux,nsubj,ROOT,det,compound,dobj,prep,poss,compound,pobj
advmod,amod,compound,compound,dobj,aux,nsubj,ROOT
det,compound,nsubj,aux,ROOT,poss,compound,dobj
nummod,compound,compound,ROOT
advmod,nsubj,ROOT,nsubj
nummod,compound,compound,ROOT,prep,compound,pobj
aux,nsubj,ROOT,det,compound,dobj,prep,poss,pobj
det,compound,compound,compound,nsubj,ROOT,nsubj
compound,compound,compound,ROOT
nummod,advmod,amod,compound,ROOT
nummod,compound,compound,ROOT,prep,pobj
nummod,compound,ROOT,prep,pobj,nsubj,relcl,dobj
nummod,compound,ROOT,prep,pobj
det,compound,compound,nsubj,ROOT,nsubj
det,compound,compound,ROOT
advmod,intj,aux,nsubj,ROOT,det,compound,compound,dobj
ROOT,nsubj,amod,attr,cc,conj
det,compound,attr,ROOT,nsubj
aux,nsubj,ROOT,det,compound,compound,dobj
advmod,intj,aux,nsubj,ROOT,punct,dobj,punct
det,nummod,compound,compound,compound,ROOT,prep,pobj
nummod,compound,ROOT,prep,det,compound,compound,pobj
poss,ROOT,prep,det,pobj,prep,pobj,nummod
aux,nsubj,ROOT,poss,compound,dobj
nummod,compound,ROOT,prep,compound,pobj
ROOT,nummod,prep,poss,case,nummod,punct,compound,compound,compound,pobj
nummod,compound,compound,nsubj,aux,neg,ROOT,dobj
compound,compound,compound,compound,ROOT
nummod,ROOT,nsubj,relcl,advmod,acomp,prep,pobj
nummod,compound,compound,compound,compound,ROOT
det,compound,ROOT,prep,pobj
ROOT,prep,det,advmod,amod,pobj,prep,det,pobj
nummod,npadvmod,det,appos,advmod,ROOT,prt,xcomp,det,attr
nummod,compound,compound,ROOT,nsubj,aux,relcl,nsubj,ccomp
nummod,compound,compound,ROOT,nsubj,relcl,advmod,acomp
